TILE_ID,NUMBER,ra,dec,CLASS_STAR,uJAVA,J0378,J0395,J0410,J0430,gSDSS,J0515,rSDSS,J0660,iSDSS,J0861,zSDSS,StellarLoMaR,isTrain,High_confidence,Source,TEFF_SPEC,LOGG_SPEC,FE_H_SPEC,teff_pre,logg_pre,feh_pre,e_teff_pre,e_logg_pre,e_feh_pre
90417,11335,154.8576169,40.14782946,0.937,17.148531,16.7754116,16.8187656,16.2829437,16.2528191,15.8404655,15.6732845,15.3138256,15.2368708,15.0806599,15.0168667,15.0042391,0.925292969,0,0,New,,,,4788.8247,1.6396624,-1.9413788,167.4428,0.42856145,0.23012021
90417,14321,154.0602636,40.58599868,0.847,17.4636021,17.1254234,17.0983448,16.2316589,16.0644493,15.4997778,15.2681179,14.8060369,14.719511,14.5276089,14.4432306,14.4083157,0.965820313,0,1,New,,,,4713.2363,2.2882502,-0.76074004,113.46285,0.26785517,0.16925351
87066,1341,105.2129738,32.544794,0.963,15.5554218,15.3078661,15.1142082,14.4343491,14.2990513,13.7192135,13.5202904,13.0295343,12.9427881,12.7554951,12.646843,12.6272907,0.965332031,0,1,New,,,,4989.834,3.1527314,-0.44039422,87.92793,0.18443833,0.11638896
87066,2065,106.3050949,32.57305045,0.974,15.5394726,15.2749872,15.0939083,14.3292475,14.1535807,13.5413227,13.316514,12.8207836,12.7365789,12.5561981,12.4478455,12.4246864,0.9609375,0,1,New,,,,4821.077,2.5324414,-0.4591835,80.14327,0.11352058,0.09133754
87066,2176,105.9377235,32.57989098,0.991,17.0873642,16.809866,16.5289001,15.5127697,15.1636581,14.2954655,14.0247107,13.2956142,13.1477451,12.8690958,12.6874399,12.6399498,0.98828125,0,1,New,,,,4151.4116,1.1159976,-1.1490614,25.352528,0.38449165,0.2775304
87066,2401,105.4561869,32.59040099,0.978,16.5764198,16.4120865,16.0043392,15.1948996,14.8658152,14.1588087,13.9257393,13.3092461,13.198101,12.9914932,12.8487253,12.8214169,0.98828125,0,1,New,,,,4551.7656,2.4429443,-0.32374862,68.360535,0.19392937,0.12329722
87066,2674,105.1314432,32.60376196,0.977,16.7411232,16.5227013,16.3306923,15.604187,15.4327545,14.8517427,14.6452398,14.1425171,14.0611744,13.8790359,13.7637997,13.7433167,0.975097656,0,1,New,,,,4914.5015,2.8804593,-0.4351064,49.813572,0.2049404,0.08320387
87066,2912,105.9505635,32.61022164,0.93,16.0505753,15.8450384,15.605854,14.7884951,14.5740871,13.8973494,13.6868134,13.112381,13.0075474,12.8055105,12.6752758,12.6542139,0.985351563,0,1,New,,,,4630.459,2.4994466,-0.4462427,97.15852,0.22936192,0.11877027
87066,3419,105.0892648,32.63205402,0.875,16.9211998,16.6946678,16.458271,15.6919489,15.4934273,14.8317165,14.6143103,14.0546474,13.9562912,13.7506247,13.6173296,13.5940819,0.98046875,0,1,New,,,,4758.4897,2.4835598,-0.47429335,91.18147,0.15431681,0.091074124
87066,3670,105.3202959,32.64375328,0.974,17.1923981,17.029541,16.7873421,16.0189304,15.8814478,15.2315979,15.0168962,14.4719572,14.3782635,14.1795769,14.0540218,14.0308676,0.958984375,0,1,New,,,,4774.414,2.8202217,-0.5431562,114.26337,0.2376351,0.0912792
87066,4612,106.0302046,32.68141143,0.935,17.2403755,17.0037117,16.8413811,16.0845985,15.9589548,15.3866434,15.1858912,14.6989298,14.6186934,14.4376717,14.3318043,14.3164387,0.923828125,0,0,New,,,,4852.5093,2.7042105,-0.619139,73.782745,0.2674177,0.12324349
87066,5383,106.1118393,32.70950256,0.968,17.0077095,16.8246727,16.5705872,15.8105755,15.6266422,15.0380774,14.8252773,14.3298912,14.2446918,14.074213,13.9661427,13.9569416,0.937011719,0,0,New,,,,4849.334,2.782028,-0.3941737,67.74897,0.19523993,0.08492303
87066,5591,105.6786894,32.71670862,1,17.2425499,16.9393349,16.6832199,15.8370886,15.5663538,14.8178625,14.5729036,13.9280529,13.8038464,13.571393,13.4181499,13.3834076,0.9765625,0,1,New,,,,4414.6353,1.9590743,-0.6665345,76.3393,0.18470772,0.14517726
87066,6130,106.4804861,32.73230679,0.983,16.2128925,16.0179482,15.7008209,14.8837423,14.622818,13.9467659,13.7075214,13.1318712,13.033268,12.8309546,12.7042999,12.6743078,0.987304688,0,1,New,,,,4547.072,2.311129,-0.37371814,84.87925,0.27115008,0.12824814
87066,6156,105.0344308,32.74022853,0.972,17.1784267,16.9696121,16.6950035,16.0296021,15.8848038,15.2946711,15.1040058,14.6074085,14.5267754,14.3427124,14.2380409,14.219492,0.923828125,0,0,New,,,,4907.0713,3.0814102,-0.401824,50.242886,0.1669069,0.095147006
87066,6217,106.0310839,32.73373092,0.994,15.8646832,15.690093,15.3103905,14.5052576,14.1993685,13.5271492,13.2914371,12.7240944,12.6198215,12.4350872,12.3227415,12.2959204,0.987304688,0,1,New,,,,4643.2964,2.6784356,-0.22238606,71.03647,0.13066569,0.14100133
87066,6670,105.8318306,32.75055985,0.833,15.2344284,14.8897991,14.6446075,14.0590334,13.8959732,13.421629,13.2365847,12.8036652,12.7306232,12.5732489,12.4832687,12.4623432,0.939453125,0,0,New,,,,5137.558,2.7705765,-0.31401226,223.52994,0.35889545,0.15173371
87066,6714,106.5708852,32.76235518,0.97,17.4362717,17.1185417,16.9533768,16.2279911,16.092617,15.4919262,15.2744331,14.7829628,14.6945677,14.5160904,14.409481,14.3940487,0.933105469,0,0,New,,,,4725.2773,2.5423548,-0.65234756,108.55227,0.21216767,0.16321525
87066,7220,105.6805494,32.77048785,0.944,15.6185722,15.3857679,15.1795206,14.4794922,14.3320942,13.7616634,13.5541668,13.0723143,12.9848423,12.8034687,12.6966743,12.670579,0.932128906,0,0,New,,,,4943.705,3.0551805,-0.4296667,97.411026,0.18695414,0.111611694
87066,8455,105.9987543,32.81915505,0.978,15.1885166,14.9032497,14.8716545,14.2440987,14.1623058,13.6802492,13.4922771,13.0898819,13.0151033,12.857645,12.7734423,12.7575788,0.964355469,0,1,New,,,,4940.4204,3.3237803,-1.0025584,133.60268,0.3174576,0.33586526
87066,8484,105.5492954,32.82357615,0.901,16.4532413,16.244381,15.9367247,15.0952978,14.8433943,14.1346302,13.9069672,13.2794647,13.1690741,12.9463873,12.8067932,12.7741108,0.987304688,0,1,New,,,,4531.03,2.470564,-0.4143908,60.876762,0.20668031,0.12992394
87066,9789,106.6420289,32.86870525,0.995,16.2485371,15.9873238,15.7903643,15.0122566,14.8296785,14.1894608,13.9945183,13.5136576,13.4234018,13.2533407,13.1438513,13.1264648,0.987304688,0,1,New,,,,4787.1045,2.5175529,-0.4760291,100.82458,0.18422315,0.08641119
87066,10533,105.1709139,32.90031878,0.971,16.5817184,16.3319759,16.1133347,15.3770237,15.2034864,14.6332779,14.4204311,13.9252815,13.8379784,13.6601849,13.5596619,13.5413589,0.93359375,0,0,New,,,,4923.5874,3.0928133,-0.32538772,61.923847,0.19445983,0.094336525
